pickup_hour,total_trips,avg_distance,avg_trip_minutes,avg_fare,avg_recorded_tip,avg_mta_tax,avg_congestion_surcharge,avg_total_amount
0,8980843,3.8313439428793292,13.725934016810367,17.48419203631568,2.7123336740214605,0.4948243333059048,2.2204745777179986,24.845407123793457
1,6008940,3.5068916980366005,12.689408975071608,16.2062019307893,2.450249591442008,0.4939760739830985,2.2609831070501603,23.120936967250206
2,4025055,3.3136937308931134,11.961832227551351,15.364241837688851,2.2620627544219376,0.4928178795072365,2.2937314298660425,21.995019941349042
3,2745347,3.6031706738710993,12.099898039604225,16.432540323681998,2.2377670982939857,0.4896388070433354,2.2701512820866756,23.082314374108098
4,2083615,4.806408367188761,13.593493215717242,20.527129508090255,2.5271782886953926,0.483101057537021,2.1177972029246903,27.808122637824145
5,2399791,5.5277854113129035,14.652345301458901,22.193037118648746,2.9003252283219663,0.4844614885212921,1.9688527771200042,30.126595432691303
6,5467399,4.367562372894307,14.326193167903051,18.211512183398042,2.498424173907884,0.49165287552637005,2.099457700535611,24.935155992819315
7,9984528,3.4659644451896083,14.696910528302745,16.20416148965709,2.4653445901498854,0.49488741781284007,2.1956723566172323,22.7048050864109
8,13216213,3.058322964377174,15.290576605920837,15.755881608446176,2.5065668705550084,0.4959718430688127,2.245079443308366,22.26008681228748
9,14158567,2.9577022342727104,15.252114870334866,15.611798411520558,2.551946487239697,0.5312594735046281,2.2682989694093143,22.29251045742351
10,14941527,2.9774880773564876,15.4074388280395,15.786882635891724,2.5778657261735916,0.49584608788646584,2.274898642172381,22.468146785772454
11,16037216,2.9520210378160527,15.821693274776198,15.89136369554466,2.6094564075209044,0.49554142813815066,2.2898427896515154,22.604501140317947
12,17339661,3.020901615089258,16.111666871687905,16.283079754558557,2.6477799692852124,0.4951904769072475,2.2855603797562374,23.064937053813065
13,17814402,3.1679218948803674,16.581661653120147,16.77422420578636,2.7268629398840303,0.49464650735960713,2.278691079527069,23.691843338298064
14,19018504,3.3021261982541015,17.62199670121262,17.361364625735707,2.8282099280782798,0.4944479812923247,2.268902530234165,24.44474394618587
15,19455058,3.292136831974527,18.159220948266075,17.530377087028636,2.845031707949512,0.4942351474870958,2.2644300447440724,24.63958070181822
16,19156854,3.275969808508274,18.24951947398732,17.75687286492933,3.028296551719641,0.4947009843056694,2.269429999202167,26.180668200509498
17,21079418,3.0276135009990086,17.198025559023097,16.84668869558048,2.899364433590967,0.49568332294563344,2.28988661416689,25.050705179319614
18,22281475,2.848987207085773,15.518329747020651,15.811002175126001,2.77435910145073,0.4964117424901178,2.307860859618013,23.80647977163317
19,20049346,2.992713060565735,14.509610383301265,15.619278077699558,2.7629410031627164,0.496664037819488,2.3040942945887726,23.57937301094552
20,17828233,3.2824747186106675,14.240064679993798,16.017017153635443,2.796742749547748,0.49668041807620533,2.2942771387990217,23.568275371963324
21,17615381,3.376803076243449,14.169089089434545,16.32504071016183,2.8474951288307775,0.496798411002294,2.2963815919778754,23.921829379651925
22,16267695,3.5350177631188937,14.421318721961919,16.907661136996428,2.8549374862264605,0.4965652982798117,2.28236841218248,24.491409313956442
23,12798274,3.8036730007499573,14.439952180270598,17.632439200786553,2.8310013428372924,0.49572950383778314,2.2367347405270013,25.22013910076651
