duration_bucket,total_trips,avg_distance,avg_fare,avg_recorded_tip,avg_mta_tax,avg_tolls,avg_congestion_surcharge,avg_total_amount
01: 0-10 min,127606570,1.065956051714249,8.002264942235866,1.6355263007229004,0.4950409384093623,0.021336604377032754,2.311881595960375,13.570581895000709
02: 11-20 min,115028315,2.515364549763059,14.130040919836109,2.3998125690179575,0.5032780841830116,0.1265642572439351,2.352190473892196,20.7935195789469
03: 21-30 min,44717116,5.167415221276576,24.86419738786059,3.784514512966271,0.4955766027039844,0.7940272608364167,2.235411437856242,33.76938842890364
04: 31-45 min,21569999,9.638768462158707,40.46516606560432,5.962149541592544,0.48635068133290127,2.371526120143447,1.9515553247933752,53.28923947289952
05: 46-60 min,7357703,14.277760443714591,55.33082833460619,7.887270240453975,0.47969933415360744,3.952027628729052,1.7550886402031693,71.88577879943965
06: 61-180 min,4473639,16.793350198797857,64.25299291024771,8.159606072371222,0.47360655832980725,4.543171449459959,1.6381355126489456,81.61598288776375
