distance_bucket,total_trips,avg_trip_minutes,avg_fare,avg_recorded_tip,avg_tolls,avg_congestion_surcharge,avg_total_amount
01: Under 1 mile,74209193,6.36345011953767,8.380744167099738,1.54029227281918,0.046967563304459135,2.2831911596865764,13.916116559277192
02: 1-3 miles,155611335,12.391229829005269,11.50082256649326,2.135711759300714,0.008006774827810356,2.389873321621345,17.708214566226744
03: 3-5 miles,38412228,20.68964327323065,19.361009019573686,2.9653159025301536,0.09335200759509252,2.329980845569351,26.489094641246343
04: 5-10 miles,29050255,26.82113301070856,29.57715564286298,4.3242592600307175,1.4441771099758818,2.026354639473185,39.85580361934881
05: 10-20 miles,20612384,42.57889011528218,52.86113369807122,7.853122307928906,4.167479884907289,1.6507222481101116,69.57716930761426
06: 20+ miles,2857947,53.99275565058884,77.54995421888566,10.175189942290402,6.008266192478878,1.3261584425828783,97.73157564852806
